dev,iast,roman,count,top_sources,gotra_context
पनिचोभ,pnicobh,pnicobh,7976,"punji-06-Diwali2014.doc, punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-02-Diwali2014.doc, Vol-3Final03-e(1).doc","Śāṇḍilya, Kapila, Vasiṣṭha, Kṛṣṇātreya, Vatsa"
नेयाम,neyām,neyam,7416,"Final_1-65.doc, punji-07-Diwali2014.doc, punji-01-Diwali2014.doc, punji-06-Diwali2014.doc, punji-03-Diwali2014.doc","Vatsa, Kapila, Śāṇḍilya, Kṛṣṇātreya, Kauśika"
जजिवाल,jjivāl,jjival,6390,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-04-Diwali2014.doc, punji-05-Diwali2014.doc, Vol-3Final03-d(1).doc","Kapila, Śāṇḍilya, Vatsa, Vasiṣṭha, Kauśika"
नरउन,nrun,nrun,5942,"Vol-3Final03-d(1).doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-07-Diwali2014.doc, Final_348-690.doc","Śāṇḍilya, Kapila, Vatsa, Taṇḍī, Vasiṣṭha"
पवौली,pvaulī,pvauli,5382,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-08-Diwali2014.doc, punji-06-Diwali2014.doc, punji-02-Diwali2014.doc","Kapila, Kṛṣṇātreya, Vatsa, Śāṇḍilya, Vasiṣṭha"
सकराढ़ी,skrāḍh़ī,skradh i,5216,"Final_1-65.doc, Vol-3Final03-d(1).doc, Vol-3Final03-c(1).doc, Final_348-690.doc, Vol-3Final03-e(1).doc","Vatsa, Vasiṣṭha, Kapila, Kauśika, Śāṇḍilya"
दिघो,digho,digho,4890,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, Vol-3Final03-a(1).doc, punji-05-Diwali2014.doc, Vol-3Final03-d(1).doc","Kapila, Śāṇḍilya, Kauśika, Kṛṣṇātreya, Vatsa"
निखूति,nikhūti,nikhuti,4400,"punji-07-Diwali2014.doc, punji-03-Diwali2014.doc, punji-08-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc","Kapila, Kṛṣṇātreya, Vasiṣṭha, Vatsa, Śāṇḍilya"
ओडा,oḍā,oda,4386,"punji-06-Diwali2014.doc, punji-07-Diwali2014.doc, punji-08-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc","Śāṇḍilya, Kapila, Kṛṣṇātreya, Vatsa, Kauśika"
जालय,jāly,jaly,3882,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, Final_1-65.doc, punji-01-Diwali2014.doc","Kṛṣṇātreya, Kapila, Vatsa, Śāṇḍilya, Kauśika"
वलियास,vliyās,vliyas,3564,"Vol-3Final03-e(1).doc, Vol-3Final03-a(1).doc, Final_348-690.doc, Vol-3Final03-d(1).doc, Vol-3Final03-c(1).doc","Vatsa, Śāṇḍilya, Kapila, Vasiṣṭha"
गंगोली,gṃgolī,gmgoli,3382,"punji-08-Diwali2014.doc, Vol-3Final03-e(1).doc, punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc","Kapila, Vatsa, Vasiṣṭha, Śāṇḍilya, Kauśika"
रैयाम,raiyām,raiyam,3078,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-02-Diwali2014.doc, punji-05-Diwali2014.doc, punji-08-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Vatsa, Kauśika"
ततैल,ttail,ttail,2796,"punji-07-Diwali2014.doc, Vol-3Final03-d(1).doc, punji-06-Diwali2014.doc, Final_1-65.doc, punji-04-Diwali2014.doc","Kapila, Śāṇḍilya, Vasiṣṭha, Vatsa, Kṛṣṇātreya"
सुरगन,surgn,surgn,2724,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-08-Diwali2014.doc, punji-03-Diwali2014.doc","Kapila, Kāśyapa, Kauśika, Kṛṣṇātreya, Vatsa"
कटाई,kṭāī,ktai,2566,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-01-Diwali2014.doc, punji-04-Diwali2014.doc","Śāṇḍilya, Kṛṣṇātreya, Kapila, Vatsa, Vasiṣṭha"
मंगरौनी,mṃgraunī,mmgrauni,2432,"punji-07-Diwali2014.doc, punji-04-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-03-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Vasiṣṭha, Vatsa"
सरिसब,srisb,srisb,2216,"Vol-3Final03-a(1).doc, Final_348-690.doc, Vol-3Final03-e(1).doc, Final_66-347.doc, Vol-3Final03-d(1).doc","Vatsa, Kapila, Śāṇḍilya"
फनन्दह,phnndh,phnndh,1914,"punji-07-Diwali2014.doc, punji-04-Diwali2014.doc, Final_348-690.doc, punji-06-Diwali2014.doc, Final_1-65.doc","Kṛṣṇātreya, Kapila, Śāṇḍilya, Vatsa, Vasiṣṭha"
सकराढी,skrāḍhī,skradhi,1912,"punji-07-Diwali2014.doc, punji-04-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-03-Diwali2014.doc","Kapila, Vatsa, Śāṇḍilya, Kauśika, Kṛṣṇātreya"
सन्दहपुर,sndhpur,sndhpur,1870,"punji-06-Diwali2014.doc, punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-03-Diwali2014.doc","Śāṇḍilya, Kapila, Kṛṣṇātreya, Vatsa, Kauśika"
बलियास,bliyās,bliyas,1674,"punji-07-Diwali2014.doc, punji-04-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, Final_348-690.doc","Kapila, Vatsa, Śāṇḍilya, Kauśika, Kṛṣṇātreya"
पण्डुआ,pṇḍuā,pndua,1564,"punji-04-Diwali2014.doc, punji-07-Diwali2014.doc, punji-03-Diwali2014.doc, Final_348-690.doc, Final_66-347.doc","Kapila, Vatsa, Śāṇḍilya, Kṛṣṇātreya, Kāśyapa"
सरिसव,srisv,srisv,1452,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-03-Diwali2014.doc, punji-04-Diwali2014.doc","Kapila, Śāṇḍilya, Vatsa, Kṛṣṇātreya, Kauśika"
गंगोरा,gṃgorā,gmgora,1396,"punji-06-Diwali2014.doc, punji-07-Diwali2014.doc, punji-08-Diwali2014.doc, punji-02-Diwali2014.doc, punji-04-Diwali2014.doc","Kapila, Kauśika, Kṛṣṇātreya, Vatsa, Śāṇḍilya"
घुसौत,ghusaut,ghusaut,1304,"Vol-3Final03-d(1).doc, Vol-3Final03-a(1).doc, Final_348-690.doc, Vol-3Final03-e(1).doc, Final_66-347.doc","Kapila, Vatsa, Vasiṣṭha, Śāṇḍilya"
भखरौली,bhkhraulī,bhkhrauli,1182,"Vol-3Final03-d(1).doc, Vol-3Final03-e(1).doc, punji-04-Diwali2014.doc, punji-06-Diwali2014.doc, punji-01-Diwali2014.doc","Vatsa, Kapila, Śāṇḍilya, Kauśika"
सुखेत,sukhet,sukhet,1156,"punji-07-Diwali2014.doc, punji-04-Diwali2014.doc, punji-05-Diwali2014.doc, punji-01-Diwali2014.doc, punji-03-Diwali2014.doc","Kṛṣṇātreya, Kapila, Vatsa, Vasiṣṭha, Śāṇḍilya"
घोसोत,ghosot,ghosot,1048,"punji-07-Diwali2014.doc, punji-04-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-02-Diwali2014.doc","Kapila, Vatsa, Śāṇḍilya, Kauśika, Kṛṣṇātreya"
पबौली,pbaulī,pbauli,960,"Final_348-690.doc, Final_66-347.doc, Vol-3Final03-a(1).doc, Vol-3Final03-c(1).doc, Final_1-65.doc","Vatsa, Kapila, Śāṇḍilya"
खण्डबला,khṇḍblā,khndbla,954,"Final_348-690.doc, Final_66-347.doc, Final_1-65.doc, punji-01-Diwali2014.doc, punji-02-Diwali2014.doc","Vatsa, Kapila, Śāṇḍilya, Gautama"
विस्फी,visphī,visphi,954,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-04-Diwali2014.doc, punji-05-Diwali2014.doc, Final_1-65.doc","Kapila, Vatsa, Śāṇḍilya, Kauśika, Kṛṣṇātreya"
डर,ḍr,dr,926,"Vol-3Final03-a(1).doc, Vol-3Final03-e(1).doc, Vol-3Final03-d(1).doc, Vol-3Final03-c(1).doc, Vol-3Final03-b(1).doc","Kauśika, Kapila"
टकवाल,ṭkvāl,tkval,912,"punji-05-Diwali2014.doc, punji-07-Diwali2014.doc, punji-03-Diwali2014.doc, punji-04-Diwali2014.doc, punji-02-Diwali2014.doc","Kṛṣṇātreya, Kapila, Vasiṣṭha, Vatsa, Śāṇḍilya"
नाहस,nāhs,nahs,884,"Vol-3Final03-c(1).doc, Final_1-65.doc, punji-07-Diwali2014.doc, punji-01-Diwali2014.doc, Final_348-690.doc","Vatsa, Kapila, Śāṇḍilya, Kauśika, Kṛṣṇātreya"
बहेराढ़ी,bherāḍh़ī,bheradh i,816,"Vol-3Final03-c(1).doc, Final_348-690.doc, Final_66-347.doc, Final_1-65.doc, Vol-3Final03-e(1).doc",Vatsa
दिधो,didho,didho,812,"punji-04-Diwali2014.doc, punji-03-Diwali2014.doc, punji-02-Diwali2014.doc, Vol-3Final03-e(1).doc, punji-01-Diwali2014.doc","Vatsa, Kapila, Śāṇḍilya"
बहेराढी,bherāḍhī,bheradhi,776,"punji-04-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-07-Diwali2014.doc, punji-02-Diwali2014.doc","Kapila, Vatsa, Śāṇḍilya, Kauśika, Kāśyapa"
वुधवाल,vudhvāl,vudhval,760,"Final_348-690.doc, Vol-3Final03-a(1).doc, Vol-3Final03-d(1).doc, Vol-3Final03-c(1).doc, Final_66-347.doc","Vatsa, Kapila"
उचति,ucti,ucti,548,"Vol-3Final03-a(1).doc, punji-04-Diwali2014.doc, Final_1-65.doc, Final_348-690.doc, punji-05-Diwali2014.doc","Vatsa, Kapila, Śāṇḍilya, Kṛṣṇātreya, Kāśyapa"
गंगौली,gṃgaulī,gmgauli,546,"punji-07-Diwali2014.doc, Vol-3Final03-a(1).doc, Vol-3Final03-d(1).doc, Vol-3Final03-e(1).doc, Vol-3Final03-b(1).doc","Kapila, Vatsa"
मूलग्राम,mūlgrām,mulgram,542,"punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, Final_1-65.doc",Kapila
पबौलि,pbauli,pbauli,540,"Vol-3Final03-e(1).doc, Vol-3Final03-d(1).doc, Vol-3Final03-a(1).doc, Final_66-347.doc, Final_1-65.doc",Vatsa
दिघवे,dighve,dighve,472,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-08-Diwali2014.doc, punji-05-Diwali2014.doc","Kapila, Kauśika, Śāṇḍilya, Gautama, Vatsa"
बेलउंच,beluṃc,belumc,462,"punji-03-Diwali2014.doc, punji-02-Diwali2014.doc, punji-04-Diwali2014.doc","Vatsa, Śāṇḍilya, Kapila"
बभनियाम,bbhniyām,bbhniyam,438,"Vol-3Final03-a(1).doc, punji-07-Diwali2014.doc, Final_66-347.doc, Final_348-690.doc, Vol-3Final03-d(1).doc","Kapila, Vatsa, Kauśika, Śāṇḍilya, Kṛṣṇātreya"
तिसउँत,tisum̐t,tisumt,430,"punji-07-Diwali2014.doc, Vol-3Final03-a(1).doc, Final_348-690.doc, Vol-3Final03-e(1).doc, Vol-3Final03-d(1).doc","Kṛṣṇātreya, Vatsa, Kapila, Śāṇḍilya"
वासी नेयाम कुजौली,vāsī neyām kujaulī,vasi neyam kujauli,410,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-04-Diwali2014.doc, punji-03-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Vatsa, Kauśika"
डुआ,ḍuā,dua,404,"Vol-3Final03-e(1).doc, Vol-3Final03-a(1).doc, Vol-3Final03-d(1).doc, Vol-3Final03-c(1).doc, Vol-3Final03-b(1).doc",
वासी रतौली दरिहरा,vāsī rtaulī drihrā,vasi rtauli drihra,402,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-04-Diwali2014.doc, punji-02-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Kauśika, Vatsa"
वासी बडगाम दरिहरा,vāsī bḍgām drihrā,vasi bdgam drihra,382,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-08-Diwali2014.doc, punji-04-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Vasiṣṭha, Vatsa"
वासी महिषी बुधवाल,vāsī mhiṣī budhvāl,vasi mhisi budhval,378,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-04-Diwali2014.doc, punji-02-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Vatsa, Kauśika"
कुसमाल,kusmāl,kusmal,370,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-04-Diwali2014.doc, punji-03-Diwali2014.doc","Kapila, Vatsa, Śāṇḍilya, Kauśika, Kṛṣṇātreya"
ननौर,nnaur,nnaur,368,"Vol-3Final03-d(1).doc, Vol-3Final03-a(1).doc, Final_1-65.doc, punji-04-Diwali2014.doc, punji-03-Diwali2014.doc",Vatsa
वासी बढियाम पवौली,vāsī bḍhiyām pvaulī,vasi bdhiyam pvauli,362,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-03-Diwali2014.doc, punji-04-Diwali2014.doc","Kapila, Śāṇḍilya, Kauśika, Vatsa, Kṛṣṇātreya"
टकबाल,ṭkbāl,tkbal,334,"Final_1-65.doc, Final_348-690.doc, Final_66-347.doc, Vol-3Final03-d(1).doc, Vol-3Final03-e(1).doc","Vatsa, Kauśika, Kapila, Śāṇḍilya"
दिघोय,dighoy,dighoy,322,"punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-04-Diwali2014.doc, punji-07-Diwali2014.doc, punji-08-Diwali2014.doc","Kapila, Śāṇḍilya, Vatsa, Kauśika, Kṛṣṇātreya"
गंगोर,gṃgor,gmgor,308,"Final_1-65.doc, punji-04-Diwali2014.doc, punji-05-Diwali2014.doc, Final_66-347.doc, punji-02-Diwali2014.doc","Vatsa, Kapila, Śāṇḍilya, Kauśika, Kāśyapa"
रवौआल,rvauāl,rvaual,308,"Final_66-347.doc, Final_348-690.doc, Final_1-65.doc, Vol-3Final03-b(1).doc, Vol-3Final03-d(1).doc",Vatsa
वासी नगवाड घोसोत,vāsī ngvāḍ ghosot,vasi ngvad ghosot,302,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-04-Diwali2014.doc, punji-08-Diwali2014.doc","Kapila, Śāṇḍilya, Vatsa, Kauśika, Vasiṣṭha"
वासी सरिसव सोदरपुर,vāsī srisv sodrpur,vasi srisv sodrpur,298,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-03-Diwali2014.doc, punji-04-Diwali2014.doc","Kapila, Śāṇḍilya, Kauśika, Kṛṣṇātreya, Vatsa"
वभनियाम,vbhniyām,vbhniyam,294,"Vol-3Final03-a(1).doc, Final_348-690.doc, Vol-3Final03-d(1).doc, Vol-3Final03-c(1).doc, Final_1-65.doc","Vatsa, Kṛṣṇātreya"
वासी हाटी सोदरपुर,vāsī hāṭī sodrpur,vasi hati sodrpur,292,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-03-Diwali2014.doc, punji-04-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Vatsa, Kauśika"
वासी काको बेलउँच,vāsī kāko belum̐c,vasi kako belumc,290,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-08-Diwali2014.doc, punji-01-Diwali2014.doc","Kapila, Śāṇḍilya, Kauśika, Vatsa, Kāśyapa"
ब्रह्मपुरा,brhmpurā,brhmpura,272,"punji-05-Diwali2014.doc, punji-07-Diwali2014.doc, punji-03-Diwali2014.doc, punji-04-Diwali2014.doc, punji-02-Diwali2014.doc","Kapila, Śāṇḍilya, Vatsa, Kāśyapa, Kṛṣṇātreya"
वासी खांगुड सरिसव,vāsī khāṃguḍ srisv,vasi khamgud srisv,264,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-04-Diwali2014.doc, punji-03-Diwali2014.doc","Kapila, Śāṇḍilya, Vatsa, Kṛṣṇātreya, Vasiṣṭha"
वासी राजनपुरा दरिहरा,vāsī rājnpurā drihrā,vasi rajnpura drihra,264,"punji-05-Diwali2014.doc, punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-03-Diwali2014.doc, punji-04-Diwali2014.doc","Kapila, Śāṇḍilya, Kauśika, Vatsa, Kāśyapa"
देवहार,devhār,devhar,258,"punji-04-Diwali2014.doc, punji-05-Diwali2014.doc, punji-02-Diwali2014.doc, punji-06-Diwali2014.doc, punji-08-Diwali2014.doc","Vatsa, Kapila, Śāṇḍilya, Gautama"
वासी मलंगिया कुजौली,vāsī mlṃgiyā kujaulī,vasi mlmgiya kujauli,258,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-08-Diwali2014.doc, punji-04-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Kauśika, Vatsa"
दह,dh,dh,252,"Vol-3Final03-d(1).doc, Vol-3Final03-e(1).doc, Vol-3Final03-a(1).doc, Vol-3Final03-c(1).doc, Vol-3Final03-b(1).doc",
राउढ,rāuḍh,raudh,244,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-04-Diwali2014.doc, punji-02-Diwali2014.doc","Kapila, Śāṇḍilya, Kauśika, Vatsa, Kṛṣṇātreya"
वासी रजौरा माण्डर,vāsī rjaurā māṇḍr,vasi rjaura mandr,236,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-03-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Vatsa, Kauśika"
वासी अनलपुर करमहा,vāsī anlpur krmhā,vasi anlpur krmha,234,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-08-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Vatsa, Kauśika"
परसण्डा,prsṇḍā,prsnda,230,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-04-Diwali2014.doc, punji-03-Diwali2014.doc","Kapila, Kauśika, Vatsa, Śāṇḍilya, Kṛṣṇātreya"
वासी एकमा खण्डवला,vāsī ekmā khṇḍvlā,vasi ekma khndvla,224,"punji-06-Diwali2014.doc, punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-08-Diwali2014.doc, punji-03-Diwali2014.doc","Kapila, Śāṇḍilya, Kauśika, Kṛṣṇātreya, Vatsa"
वासी सिमरवाड खौआल,vāsī simrvāḍ khauāl,vasi simrvad khaual,224,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-03-Diwali2014.doc, punji-04-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Vatsa, Vasiṣṭha"
दिधोय,didhoy,didhoy,218,"punji-03-Diwali2014.doc, punji-04-Diwali2014.doc, punji-02-Diwali2014.doc, punji-05-Diwali2014.doc, Vol-3Final03-d(1).doc","Vatsa, Kapila, Śāṇḍilya"
महुआ,mhuā,mhua,216,"Final_1-65.doc, punji-02-Diwali2014.doc, punji-04-Diwali2014.doc, Final_348-690.doc, Final_66-347.doc","Vatsa, Śāṇḍilya, Kapila, Taṇḍī"
रोहाड़,rohāḍ़,rohad,216,"Vol-3Final03-a(1).doc, Final_1-65.doc, Final_348-690.doc, Final_66-347.doc, Vol-3Final03-c(1).doc",Vatsa
तिलय,tily,tily,210,"punji-02-Diwali2014.doc, punji-04-Diwali2014.doc, punji-05-Diwali2014.doc, punji-07-Diwali2014.doc, punji-03-Diwali2014.doc","Kapila, Vatsa, Śāṇḍilya, Kauśika, Kṛṣṇātreya"
वासी जगतपुर माण्डर,vāsī jgtpur māṇḍr,vasi jgtpur mandr,210,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-04-Diwali2014.doc, punji-03-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Vasiṣṭha, Vatsa"
वासी ओडा एकहरा,vāsī oḍā ekhrā,vasi oda ekhra,208,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-03-Diwali2014.doc, punji-04-Diwali2014.doc","Kapila, Śāṇḍilya, Vatsa, Kauśika, Kṛṣṇātreya"
वासी बेहट खण्डवला,vāsī behṭ khṇḍvlā,vasi beht khndvla,208,"punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-07-Diwali2014.doc, punji-02-Diwali2014.doc, punji-03-Diwali2014.doc","Śāṇḍilya, Kapila, Vatsa, Kauśika, Kāśyapa"
वासी तरौनी करमहा,vāsī traunī krmhā,vasi trauni krmha,206,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-04-Diwali2014.doc, punji-02-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Kāśyapa, Kauśika"
बूधवाल,būdhvāl,budhval,202,"Final_66-347.doc, Final_348-690.doc, Vol-3Final03-a(1).doc, punji-02-Diwali2014.doc, Vol-3Final03-e(1).doc",Vatsa
वासी रखवारी हरिअम,vāsī rkhvārī hriam,vasi rkhvari hriam,202,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-08-Diwali2014.doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Vatsa, Kauśika"
तल्हनपुर,tlhnpur,tlhnpur,200,"Final_1-65.doc, punji-05-Diwali2014.doc, Final_66-347.doc, punji-02-Diwali2014.doc, punji-03-Diwali2014.doc","Vatsa, Kapila, Kauśika, Śāṇḍilya, Kāśyapa"
परिसरा,prisrā,prisra,200,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-06-Diwali2014.doc, punji-03-Diwali2014.doc","Kapila, Vatsa, Kṛṣṇātreya, Kauśika, Śāṇḍilya"
नरवाल,nrvāl,nrval,196,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-03-Diwali2014.doc, punji-08-Diwali2014.doc, punji-05-Diwali2014.doc","Kapila, Śāṇḍilya, Vatsa, Kauśika, Kāśyapa"
वासी मंगरौनी पाली,vāsī mṃgraunī pālī,vasi mmgrauni pali,194,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-03-Diwali2014.doc","Kapila, Śāṇḍilya, Kauśika, Kṛṣṇātreya, Vasiṣṭha"
वासी मझौरा करमहा,vāsī mjhaurā krmhā,vasi mjhaura krmha,188,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-02-Diwali2014.doc","Kapila, Kauśika, Vatsa, Śāṇḍilya, Kṛṣṇātreya"
